http://www.cars-data.com//en/subaru-vivio-gli-specs/46808	Subaru Vivio GLi	Subaru Vivio	Subaru	7.939	G		3295	1375 mm	1395 mm	625 kg	625 kg	148 g/km	0	benzine	2	0	5	5	gearbox	106-834 l	50 kg	16,0 s	voor	32 l	6,2 l/100km	138 km/h	485 kg	500 kg	ohc	benzine	658 cc	0 KW	53 Nm
http://www.cars-data.com//en/subaru-vivio-gli-ecvt-specs/46809	Subaru Vivio GLi ECVT	Subaru Vivio	Subaru	9.073	N.A.	hatchback	3295	1375 mm	1395 mm	670 kg	670 kg		1992	petrol	2	3	s	5	gearbox	106-834 l	50 kg	21,2 s	front	32 l	6,1 l/100km	130 km/h	440 kg	500 kg	ohc	petrol	658 cc	32 KW	53 Nm
http://www.cars-data.com//en/subaru-vivio-gli-awd-specs/46810	Subaru Vivio GLi AWD	Subaru Vivio	Subaru	10.097	N.A.	hatchback	3295	1375 mm	1395 mm	710 kg	710 kg		1992	petrol	2	3	5	5	gearbox	106-834 l	50 kg	18,0 s	front+rear	32 l	6,2 l/100km	133 km/h	400 kg	500 kg	ohc	petrol	658 cc	32 KW	53 Nm
http://www.cars-data.com//en/subaru-vivio-gli-basic-specs/46807	Subaru Vivio GLi Basic	Subaru Vivio	Subaru	7.712	N.A.	hatchback	3295	1375 mm	1395 mm	625 kg	625 kg		1994	petrol	2	3	5	5	gearbox	106-834 l	50 kg	16,0 s	front	32 l	6,3 l/100km	138 km/h	425 kg	500 kg	ohc	petrol	658 cc	32 KW	53 Nm
http://www.cars-data.com//en/alfa-romeo-spider-2.0-specs/929	Alfa Romeo Spider 2.0	Alfa Romeo Spider	Alfa Romeo	26.569	N.A.	cabriolet	4260	1290 mm	1630 mm	1120 kg	1120 kg		1990	petrol	2	2	5	5	gearbox	300 l		9,4 s	rear	46 l	8,6 l/100km	190 km/h	240 kg	800 kg	dohc	petrol	1962 cc	88 KW	161 Nm
http://www.cars-data.com//en/audi-90-2.0-e-specs/1363	Audi 90 2.0 E	Audi 90	Audi	27.755	N.A.	sedan	4393	1397 mm	1695 mm	1170 kg	1170 kg		1987	petrol	2	4	5	5	gearbox	453 l	75 kg	10,2 s	front	68 l	8,4 l/100km	196 km/h	460 kg	1400 kg	ohc	petrol	1994 cc	85 KW	172 Nm
http://www.cars-data.com//en/audi-90-2.3-e-specs/1364	Audi 90 2.3 E	Audi 90	Audi	29.532	N.A.	sedan	4393	1397 mm	1695 mm	1170 kg	1170 kg		1987	petrol	2	4	5	5	gearbox	453 l	75 kg	8,9 s	front	68 l	8,8 l/100km	206 km/h	460 kg	1500 kg	ohc	petrol	2309 cc	100 KW	190 Nm
http://www.cars-data.com//en/audi-90-2.3-e-specs/1365	Audi 90 2.3 E	Audi 90	Audi	31.105	N.A.	sedan	4393	1397 mm	1695 mm	1183 kg	1183 kg		1987	petrol	2	4	3	5	gearbox	453 l	75 kg	11,5 s	front	68 l	9,5 l/100km	202 km/h	447 kg	1500 kg	ohc	petrol	2309 cc	100 KW	190 Nm
http://www.cars-data.com//en/audi-90-2.3-e-quattro-specs/1366	Audi 90 2.3 E Quattro	Audi 90	Audi	36.305	N.A.	sedan	4393	1397 mm	1695 mm	1280 kg	1280 kg		1987	petrol	2	4	5	5	gearbox	373 l	75 kg	8,9 s	front+rear	70 l	9,4 l/100km	206 km/h	460 kg	1500 kg	ohc	petrol	2309 cc	100 KW	190 Nm
http://www.cars-data.com//en/audi-90-2.3-e-20v-specs/1367	Audi 90 2.3 E 20V	Audi 90	Audi	41.407	N.A.	sedan	4393	1372 mm	1695 mm	1200 kg	1200 kg		1990	petrol	2	4	5	5	gearbox	453 l	75 kg	8,6 s	front	68 l	9,6 l/100km	220 km/h	460 kg	1500 kg	dohc	petrol	2309 cc	125 KW	220 Nm
