http://www.cars-data.com//en/renault-megane-1.6-16v-dynamique-comfort-specs/39029	Renault Megane 1.6 16V Dynamique Comfort	Renault Megane	Renault	22.595	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-authentique-basis-specs/39019	Renault Megane 1.6 16V Authentique Basis	Renault Megane	Renault	20.695	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-dynamique-comfort-specs/39047	Renault Megane 2.0 16V Dynamique Comfort	Renault Megane	Renault	24.095	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2002	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-expression-luxe-specs/39025	Renault Megane 1.6 16V Expression Luxe	Renault Megane	Renault	23.195	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-privilege-comfort-specs/39053	Renault Megane 2.0 16V Privilege Comfort	Renault Megane	Renault	23.795	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2002	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-privilege-luxe-specs/39055	Renault Megane 2.0 16V Privilege Luxe	Renault Megane	Renault	25.695	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2002	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-authentique-basis-specs/39066	Renault Megane 1.5 dCi 80 Authentique Basis	Renault Megane	Renault	22.995	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-130-tech-line-specs/39117	Renault Megane 1.9 dCi 130 Tech Line	Renault Megane	Renault	31.340	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	148 g/km	2005	diesel	2	5	5	5	gearbox	330-1190 l		9,0 s	front	60 l	5,6 l/100km	200 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	96 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-100-tech-road-specs/39087	Renault Megane 1.5 dCi 100 Tech Road	Renault Megane	Renault	27.845	G	hatchback	4209	1457 mm	1777 mm	1220 kg	1220 kg	153 g/km	2005	diesel	2	5	4	5	gearbox	330-1190 l		14,7 s	front	60 l	5,8 l/100km	174 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	74 KW	200 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-85-tech-road-specs/39078	Renault Megane 1.5 dCi 85 Tech Road	Renault Megane	Renault	25.395	N.A.	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg		2005	diesel	2	5	5	5	gearbox	330-1190 l		12,7 s	front	60 l	4,5 l/100km	174 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	63 KW	200 Nm
